init x,init y,init z,N,dt,elapsed_time_total
0.1,1.4000000000000001,1.0,40000,0.0023,3.676804000000004
beta,sigma,rho,time_elapsed
10.0,2.6666666666666665,6.0,0.6570427999999993
x,y,z
0.1,1.4000000000000001,1.0
0.13,1.398,0.994
0.159,1.396,0.988
0.187,1.395,0.982
0.215,1.394,0.977
0.242,1.393,0.972
0.268,1.393,0.967
0.294,1.393,0.962
0.319,1.393,0.957
0.344,1.393,0.952
0.368,1.394,0.947
0.392,1.395,0.942
0.415,1.396,0.937
0.438,1.398,0.933
0.46,1.4,0.929
0.482,1.402,0.925
0.503,1.404,0.921
0.524,1.407,0.917
0.544,1.41,0.913
0.564,1.413,0.909
0.584,1.416,0.905
0.603,1.42,0.901
0.622,1.424,0.897
0.64,1.428,0.894
0.658,1.432,0.891
0.676,1.436,0.888
0.693,1.441,0.885
0.71,1.446,0.882
0.727,1.451,0.879
0.744,1.456,0.876
0.76,1.461,0.873
0.776,1.467,0.87
0.792,1.473,0.867
0.808,1.479,0.864
0.823,1.485,0.861
0.838,1.491,0.859
0.853,1.497,0.857
0.868,1.504,0.855
0.883,1.511,0.853
0.897,1.518,0.851
0.911,1.525,0.849
0.925,1.532,0.847
0.939,1.539,0.845
0.953,1.547,0.843
0.967,1.555,0.841
0.981,1.563,0.839
0.994,1.571,0.837
1.007,1.579,0.835
1.02,1.587,0.834
1.033,1.595,0.833
1.046,1.604,0.832
1.059,1.613,0.831
1.072,1.622,0.83
1.085,1.631,0.829
1.098,1.64,0.828
1.11,1.649,0.827
1.122,1.658,0.826
1.134,1.668,0.825
1.146,1.678,0.824
1.158,1.688,0.823
1.17,1.698,0.822
1.182,1.708,0.822
1.194,1.718,0.822
1.206,1.728,0.822
1.218,1.738,0.822
1.23,1.749,0.822
1.242,1.76,0.822
1.254,1.771,0.822
1.266,1.782,0.822
1.278,1.793,0.822
1.29,1.804,0.822
1.302,1.815,0.822
1.314,1.826,0.822
1.326,1.837,0.822
1.338,1.849,0.823
1.35,1.861,0.824
1.362,1.873,0.825
1.374,1.885,0.826
1.386,1.897,0.827
1.398,1.909,0.828
1.41,1.921,0.829
1.422,1.933,0.83
1.434,1.945,0.831
1.446,1.958,0.832
1.458,1.971,0.833
1.47,1.984,0.835
1.482,1.997,0.837
1.494,2.01,0.839
1.506,2.023,0.841
1.518,2.036,0.843
1.53,2.049,0.845
1.542,2.062,0.847
1.554,2.076,0.849
1.566,2.09,0.851
1.578,2.104,0.853
1.59,2.118,0.855
1.602,2.132,0.858
1.614,2.146,0.861
1.626,2.16,0.864
1.638,2.174,0.867
1.65,2.188,0.87
1.662,2.202,0.873
1.674,2.217,0.876
1.686,2.232,0.879
1.699,2.247,0.882
1.712,2.262,0.885
1.725,2.277,0.888
1.738,2.292,0.892
1.751,2.307,0.896
1.764,2.322,0.9
1.777,2.337,0.904
1.79,2.352,0.908
1.803,2.368,0.912
1.816,2.384,0.916
1.829,2.4,0.92
1.842,2.416,0.924
1.855,2.432,0.929
1.868,2.448,0.934
1.881,2.464,0.939
1.894,2.48,0.944
1.907,2.496,0.949
1.921,2.512,0.954
1.935,2.529,0.959
1.949,2.546,0.964
1.963,2.563,0.97
1.977,2.58,0.976
1.991,2.597,0.982
2.005,2.614,0.988
2.019,2.631,0.994
2.033,2.648,1.0
2.047,2.665,1.006
2.061,2.682,1.012
2.075,2.699,1.019
2.089,2.717,1.026
2.103,2.735,1.033
2.118,2.753,1.04
2.133,2.771,1.047
2.148,2.789,1.054
2.163,2.807,1.061
2.178,2.825,1.068
2.193,2.843,1.076
2.208,2.861,1.084
2.223,2.879,1.092
2.238,2.897,1.1
2.253,2.916,1.108
2.268,2.935,1.116
2.283,2.954,1.124
2.298,2.973,1.133
2.314,2.992,1.142
2.33,3.011,1.151
2.346,3.03,1.16
2.362,3.049,1.169
2.378,3.068,1.178
2.394,3.087,1.188
2.41,3.106,1.198
2.426,3.125,1.208
2.442,3.145,1.218
2.458,3.165,1.228
2.474,3.185,1.238
2.49,3.205,1.249
2.506,3.225,1.26
2.523,3.245,1.271
2.54,3.265,1.282
2.557,3.285,1.293
2.574,3.305,1.304
2.591,3.325,1.316
2.608,3.345,1.328
2.625,3.365,1.34
2.642,3.385,1.352
2.659,3.405,1.364
2.676,3.426,1.376
2.693,3.447,1.389
2.71,3.468,1.402
2.727,3.489,1.415
2.745,3.51,1.428
2.763,3.531,1.441
2.781,3.552,1.455
2.799,3.573,1.469
2.817,3.594,1.483
2.835,3.615,1.497
2.853,3.636,1.511
2.871,3.657,1.526
2.889,3.678,1.541
2.907,3.699,1.556
2.925,3.72,1.571
2.943,3.741,1.586
2.961,3.762,1.602
2.979,3.783,1.618
2.997,3.804,1.634
3.016,3.825,1.65
3.035,3.846,1.666
3.054,3.867,1.683
3.073,3.888,1.7
3.092,3.909,1.717
3.111,3.93,1.734
3.13,3.951,1.751
3.149,3.973,1.769
3.168,3.995,1.787
3.187,4.017,1.805
3.206,4.039,1.823
3.225,4.061,1.842
3.244,4.083,1.861
3.263,4.104,1.88
3.282,4.125,1.899
3.301,4.146,1.918
3.32,4.167,1.938
3.339,4.188,1.958
3.359,4.209,1.978
3.379,4.23,1.998
3.399,4.251,2.019
3.419,4.272,2.04
3.439,4.293,2.061
3.459,4.314,2.082
3.479,4.335,2.104
3.499,4.356,2.126
3.519,4.377,2.148
3.539,4.398,2.17
3.559,4.419,2.192
3.579,4.44,2.215
3.599,4.461,2.238
3.619,4.482,2.261
3.639,4.503,2.284
3.659,4.524,2.308
3.679,4.545,2.332
3.699,4.566,2.356
3.719,4.587,2.38
3.739,4.607,2.405
3.759,4.627,2.43
3.779,4.647,2.455
3.799,4.667,2.48
3.819,4.687,2.506
3.839,4.707,2.532
3.859,4.727,2.558
3.879,4.747,2.584
3.899,4.767,2.611
3.919,4.786,2.638
3.939,4.805,2.665
3.959,4.824,2.692
3.979,4.843,2.719
3.999,4.862,2.747
4.019,4.881,2.775
4.039,4.9,2.803
4.059,4.918,2.831
4.079,4.936,2.86
4.099,4.954,2.889
4.119,4.972,2.918
4.139,4.99,2.947
4.159,5.008,2.976
4.179,5.025,3.006
4.198,5.042,3.036
4.217,5.059,3.066
4.236,5.076,3.096
4.255,5.093,3.126
4.274,5.109,3.157
4.293,5.125,3.188
4.312,5.141,3.219
4.331,5.157,3.25
4.35,5.173,3.281
4.369,5.188,3.313
4.388,5.203,3.345
4.407,5.218,3.377
4.426,5.233,3.409
4.445,5.247,3.441
4.463,5.261,3.474
4.481,5.275,3.507
4.499,5.289,3.54
4.517,5.302,3.573
4.535,5.315,3.606
4.553,5.328,3.639
4.571,5.34,3.672
4.589,5.352,3.706
4.607,5.364,3.74
4.624,5.376,3.774
4.641,5.387,3.808
4.658,5.398,3.842
4.675,5.409,3.876
4.692,5.419,3.91
4.709,5.429,3.944
4.726,5.439,3.979
4.742,5.448,4.014
4.758,5.457,4.049
4.774,5.466,4.084
4.79,5.474,4.119
4.806,5.482,4.154
4.822,5.49,4.189
4.837,5.497,4.224
4.852,5.504,4.259
4.867,5.511,4.294
4.882,5.517,4.329
4.897,5.523,4.364
4.911,5.529,4.399
4.925,5.534,4.434
4.939,5.539,4.469
4.953,5.544,4.505
4.967,5.548,4.541
4.98,5.552,4.577
4.993,5.556,4.613
5.006,5.559,4.649
5.019,5.562,4.684
5.031,5.564,4.719
5.043,5.566,4.754
5.055,5.568,4.789
5.067,5.569,4.824
5.079,5.57,4.859
5.09,5.571,4.894
5.101,5.571,4.929
5.112,5.571,4.964
5.123,5.57,4.999
5.133,5.569,5.034
5.143,5.568,5.069
5.153,5.566,5.104
5.162,5.564,5.139
5.171,5.561,5.174
5.18,5.558,5.208
5.189,5.555,5.242
5.197,5.551,5.276
5.205,5.547,5.31
5.213,5.543,5.344
5.221,5.538,5.378
5.228,5.533,5.412
5.235,5.527,5.445
5.242,5.521,5.478
5.248,5.515,5.511
5.254,5.508,5.544
5.26,5.501,5.577
5.266,5.493,5.609
5.271,5.485,5.641
5.276,5.477,5.673
5.281,5.468,5.705
5.285,5.459,5.736
5.289,5.45,5.767
5.293,5.44,5.798
5.296,5.43,5.829
5.299,5.42,5.859
5.302,5.409,5.889
5.304,5.398,5.919
5.306,5.387,5.949
5.308,5.375,5.978
5.31,5.363,6.007
5.311,5.351,6.036
5.312,5.338,6.064
5.313,5.325,6.092
5.313,5.312,6.12
5.313,5.298,6.147
5.313,5.284,6.174
5.312,5.27,6.201
5.311,5.255,6.227
5.31,5.24,6.253
5.308,5.225,6.279
5.306,5.21,6.304
5.304,5.194,6.329
5.301,5.178,6.354
5.298,5.162,6.378
5.295,5.146,6.402
5.292,5.129,6.425
5.288,5.112,6.448
5.284,5.095,6.471
5.28,5.078,6.493
5.275,5.06,6.515
5.27,5.042,6.536
5.265,5.024,6.557
5.259,5.006,6.578
5.253,4.987,6.598
5.247,4.968,6.618
5.241,4.949,6.637
5.234,4.93,6.656
5.227,4.911,6.675
5.22,4.892,6.693
5.212,4.872,6.711
5.204,4.852,6.728
5.196,4.832,6.745
5.188,4.812,6.761
